selector,function_signature,protocol,classification,source_contract,source_url,etherscan_verified,l2b_source_code,notes
0x00a718a9,"liquidationCall(address,address,address,uint256,bool)",Aave V1/V2/V3 + Spark Lend,liquidation,0x7d2768dE32b0b80b7a3454c06BdAc94A69DDc7A9,https://etherscan.io/address/0x02D84abD89ee9db409572f19b6e1596c301f3c81#code,yes_aave_v2_pool,CONSTRAINED,"Reverts if health factor >= 1.0 (HEALTH_FACTOR_LIQUIDATION_THRESHOLD). Parameters structurally enforce liquidation: must specify borrower + debt + collateral. No alternative code path. Audited under D54 across Aave V1 (impl 0x588790f64ac1424862081a56b8329decae206249), Aave V2 (impl 0x02D84abD89ee9db409572f19b6e1596c301f3c81), Aave V3 Core (impl 0x8147b99Df7672a21809c9093e6f6ce1a60f119Bd), Spark Lend (impl 0x5aE329203E00f76891094DcfedD5Aca082a50e1b — Aave V3 fork). One selector covers 4 providers (V3 Lido and V3 EtherFi inheritance audits performed under D54/Session 34e but markets dropped from RQ1 scope under D55; see D57)."
0xd8eabcb8,"liquidate((address,address,address,address,uint256),address,uint256,uint256,bytes)",Morpho Blue,liquidation,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,https://etherscan.io/address/0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb#code,yes_morpho,CONSTRAINED,"Reverts with 'position is healthy' if maxBorrow >= borrowed. Unconditional — no self-liquidation bypass. Callback only reachable after health check. First parameter is MarketParams tuple (loanToken,collateralToken,oracle,irm,lltv). Audited under D54 via Etherscan ABI Ctrl+F 'liquidat' on Morpho Blue contract."
0xbcbaf487,"liquidate(address,uint256)",Curve crvUSD,liquidation,0xec0820efafc41d8943ee8de495fc9ba8495b15cf,https://etherscan.io/address/0xec0820efafc41d8943ee8de495fc9ba8495b15cf#code,yes_curve_controller,CONSTRAINED_PARTIAL,"Vyper 2-arg overload (no use_eth bool). Third-party: reverts with 'Not enough rekt' if position healthy. Self-liquidation (msg.sender==user): health check SKIPPED — voluntary exit path. See Threat #43. Added under D54 — was missing from prior registry. Audited via Etherscan ABI Ctrl+F 'liquidat' on WETH Controller."
0x3ecdb828,"liquidate(address,uint256,bool)",Curve crvUSD,liquidation,0xec0820efafc41d8943ee8de495fc9ba8495b15cf,https://etherscan.io/address/0xec0820efafc41d8943ee8de495fc9ba8495b15cf#code,yes_curve_controller,CONSTRAINED_PARTIAL,"Vyper 3-arg overload with use_eth bool. Same constraint as 0xbcbaf487 — self-liquidation bypasses health check. Re-validated under D54."
0x036aed88,"liquidate_extended(address,uint256,uint256,bool,address,uint256[])",Curve crvUSD,liquidation,0xec0820efafc41d8943ee8de495fc9ba8495b15cf,https://etherscan.io/address/0xec0820efafc41d8943ee8de495fc9ba8495b15cf#code,yes_curve_controller,CONSTRAINED_PARTIAL,"Vyper extended overload with frac + callbacker + callback_args. Same constraint — self-liquidation bypasses health check. Re-validated under D54."
0xed998908,"bark(bytes32,address,address)",MakerDAO/Sky DssFlash (Dog),liquidation,0x135954d155898D42C90D2a57824C690e0c7BEf1B,https://etherscan.io/address/0x135954d155898D42C90D2a57824C690e0c7BEf1B#code,yes_dog,CONSTRAINED,"Reverts with 'Dog/not-unsafe' if vault healthy. Additional liquidation ceiling check (Hole/hole). Single path: seize + start Clipper auction. Maker uses non-standard naming — Step 1 Ctrl+F 'liquidat' returns zero matches; resolved via Step 3 fallback (docs.makerdao.com Dog & Clipper documentation, which names Dog.bark as the v2 liquidation entry point). Re-validated under D54."
0x45cf2230,"bite(bytes32,address)",MakerDAO DssFlash v1 (Cat),liquidation,0x78F2c2AF65126834c51822F56Be0d7469D7A523E,https://etherscan.io/address/0x78F2c2AF65126834c51822F56Be0d7469D7A523E#code,yes_cat,CONSTRAINED,"Reverts with 'Cat/not-unsafe' if ink*spot >= art*rate (vault healthy). Single linear path: seize collateral + start Flip auction. Legacy non-standard naming — Step 1 Ctrl+F 'liquidat' returns zero matches; resolved via Step 3 fallback (docs.makerdao.com Cat detailed documentation, which names Cat.bite as the v1 liquidation entry point). Re-validated under D54."
0x0710285c,"liquidate(address,uint256,uint256)",BendDAO Core LendPool,liquidation,0x70b97A0da65C15dfb0FFA02aEE6FA36e507C2762,https://etherscan.io/address/0x9015b2c79064a07c7a40f390485177931c2817c3#code,yes_benddao_lendpool,CONSTRAINED,"NFT-backed liquidation. LendPool.liquidate delegates to LiquidateLogic.executeLiquidate, whose load-bearing guard is: require(block.timestamp > vars.auctionEndTimestamp, Errors.LPL_BID_AUCTION_DURATION_NOT_END). The error constant resolves to the literal numeric string ""490"" (string public constant LPL_BID_AUCTION_DURATION_NOT_END = ""490""; in libraries/helpers/Errors.sol). Reverts until the bid-auction window has expired. Parameters: nftAsset + nftTokenId + amount. Covers BendDAO Core only (proxy 0x70b97A0da65C15dfb0FFA02aEE6FA36e507C2762, impl 0x9015b2c79064a07c7a40f390485177931c2817c3). The RQ1-identified ""BendDAO MAYC Pool"" at 0x69f37e419bd1457d2a25ed3f5d418169caae8d1f is the boundMAYC BNFT wrapper, not a LendPool — its ABI exposes ERC-721 wrapping, NFT flash loans, and airdrop-claim utilities, with no liquidate function. Recorded as architectural absence per A11 (BendDAO MAYC FlashLoan events are NFT flash loans, not token flash loans). Added under D54; MAYC inheritance claim corrected under Session 34e. Audited via Etherscan ABI Ctrl+F 'liquidat' on LendPool implementation. Verbatim source evidence: thesis Appendix D.6 (app:l2-step2-proofs)."
0x56781388,"castVote(uint256,uint8)",GovernorBravo / OZ Governor,REMOVED_D54,0xc0Da02939E1441F497fd74F78cE7Decb17B66529,https://docs.compound.finance/v2/governance/,yes_governor_bravo_and_ens,N/A,"REMOVED per D54: GovernorBravo/OZ Governor are not RQ1 providers. The original D28 governance scoping (""13 RQ1 providers + the two standard Ethereum governance frameworks"") was an asymmetric extension that has no derivable closed-set universe under D54 procedure. Combined with empirical evidence (zero governance-labelled txs in 49-tx ground truth sample, plus D34 invalidation of delegate), governance scope dropped from Layer 2."
0x7b3c71d3,"castVoteWithReason(uint256,uint8,string)",GovernorBravo / OZ Governor,REMOVED_D54,0xc0Da02939E1441F497fd74F78cE7Decb17B66529,https://docs.compound.finance/v2/governance/,yes_governor_bravo_and_ens,N/A,"REMOVED per D54: same reasoning as castVote. Governance scope dropped from Layer 2."
